KPI ID,Subsystem,Type of KPI,KPI,Sub-label / Description,Problem,Solution,Data Needed,Data Source,Sourse Tech,Formula / Explanation,Units,Current Value (Example),Target,Status Thresholds,Visualization,Frequency
26,CCTV,System Health KPI,Health Score,Composite camera health index,Fragmented device condition view,Unified health scoring,Uptime faults blur latency storage,VMS Logs,Rules Engine,Weighted score 0-100,Score,82,>95,Green>95;Amber80-95;Red<80,Gauge,Hourly
30,Assessment Tax,Executive KPI,Total Properties,All taxable registered properties,Unknown tax base,Central property master,Property records IDs categories,Assessment System,API/DB,Count(all properties),Count,185000,100% loaded,Green>99%;Amber95-99%;Red<95,Card,Daily
31,Assessment Tax,Operational KPI,Active Properties,Properties in active billing status,Inactive accounts reduce revenue,Status cleanup campaign,Property status records,Assessment System,API,Count(status=active),Count,172400,Increase active base,Green>95%;Amber90-95%;Red<90,Card,Daily
32,Assessment Tax,Operational KPI,Bills Generated This Year,Annual bills issued for current cycle,Missed billing impacts revenue,Billing reconciliation,Bill issue transactions,Assessment Billing,API/Batch,Count(current year bills),Count,176500,100% eligible billed,Green>98%;Amber95-98%;Red<95,Bar,Daily
34,Assessment Tax,Operational KPI,Bills Unpaid,Outstanding current unpaid bills,Revenue backlog,Reminder campaigns,Unpaid bill list,Tax Ledger,SQL/API,Count(unpaid current bills),Count,28300,<15000,Green<15000;Amber15000-25000;Red>25000,Card,Daily
35,Assessment Tax,Operational KPI,Partial Paid Bills,Bills with part payment,Collection leakage,Follow-up balance recovery,Receipt vs demand data,Tax Ledger,API,Count(partial paid),Count,6100,<3000,Green<3000;Amber3000-5000;Red>5000,Card,Daily
38,Assessment Tax,Operational KPI,Top 100 Defaulters Amount,Outstanding from top 100 debtors,Large recoverables ignored,Priority recovery action,Defaulter balances,Tax Ledger,Analytics,Sum(top100 outstanding),MYR,12.8M,Reduce monthly,Green<plan;Amber plan+5%;Red>plan+5%,Leaderboard,Weekly
39,Assessment Tax,Operational KPI,Recovery Notices Pending,Pending notices not yet served,Delayed enforcement,Automated notice workflow,Notice queue records,Recovery Module,BPM Engine,Count(pending notices),Count,920,<200,Green<200;Amber200-500;Red>500,Card,Daily
40,Assessment Tax,System KPI,Total ARV,Aggregate annual rateable value,Weak tax base visibility,ARV analytics,ARV values all properties,Assessment Master,DB/API,Sum(ARV),MYR,6.2B,Grow annually,NA,Card,Monthly
42,Assessment Tax,System KPI,Category-wise Annual Bill,Annual bill by property type,No segment visibility,Category dashboards,Bill by category,Assessment Billing,BI,Sum(bill) by category,MYR,Residential 18M,NA,NA,Stacked Bar,Monthly
43,Assessment Tax,System KPI,Category-wise Collection,Collection by category,Low performing segments hidden,Targeted recovery,Payments by category,Tax Ledger,BI,Sum(paid) by category,MYR,Commercial 9M,NA,NA,Bar,Monthly
45,Assessment Tax,System KPI,Ward-wise Collection %,Collection performance by ward,Weak ward performance hidden,Geo campaigns,Ward mapped demand+paid,Tax+GIS,GIS Analytics,Paid/Demand by ward,%,78,>90,Green>90;Amber80-90;Red<80,Choropleth,Monthly
46,Assessment Tax,System KPI,Locality-wise Outstanding,Outstanding by locality,Hotspots unidentified,Local recovery drives,Locality mapped balances,Tax+GIS,GIS Analytics,Sum(OS) by locality,MYR,A12=2.1M,Reduce top hotspots,NA,Heatmap,Monthly
47,Assessment Tax,System KPI,Geotagged Properties %,Properties with valid coordinates,Map incomplete,Coordinate cleanup,Property geo coords,Assessment+GIS,ETL,Mapped/Total*100,%,76,>95,Green>95;Amber85-95;Red<85,Donut,Weekly
50,Assessment Tax,System Health KPI,Tax API Availability,Availability of vendor tax APIs,Sync interruptions,API monitoring,Uptime logs,API Gateway,APM,Uptime %,%,99.1,>99.5,Green>99.5;Amber99-99.5;Red<99,Gauge,Hourly
57,Feedback,Executive KPI,Total Complaints,All complaints received across channels,No demand visibility,Unified citizen service dashboard,Complaint IDs dates channels,ADVAN/CRM,API CSV ETL,Count(all complaints),Count,12540,Trend reduction,NA,Card,Daily
58,Feedback,Operational KPI,Open Cases,Complaints pending closure,Backlog growth,Workforce prioritization,Open status tickets,ADVAN/CRM,Workflow Engine,Count(status=open),Count,1840,<1000,Green<1000;Amber1000-1500;Red>1500,Card,Hourly
60,Feedback,Operational KPI,In Progress Cases,Assigned cases under action,No in-flight visibility,Ops monitoring,In progress status,ADVAN/CRM,BPM,Count(status=in progress),Count,490,<300,Green<300;Amber300-500;Red>500,Card,Hourly
61,Feedback,Operational KPI,SLA Breached Cases,Cases exceeding SLA,Service delays,Escalation rules,SLA due dates current status,ADVAN/CRM,BPM Rules,Count(breached cases),Count,126,0,Green0;Amber1-50;Red>50,Alert Grid,Hourly
62,Feedback,Executive KPI,SLA Compliance %,Resolved within SLA,Citizen dissatisfaction,SLA dashboard,Created closed SLA timestamps,ADVAN/CRM,Analytics,Within SLA / Closed *100,%,88,>95,Green>95;Amber90-95;Red<90,Gauge,Hourly
63,Feedback,Operational KPI,Avg Resolution Time,Average time to resolve,Slow service delivery,Ageing reduction program,Open close timestamps,ADVAN/CRM,BI Engine,Avg(close-open),Hours,42,<24,Green<24;Amber24-48;Red>48,Trend,Hourly
66,Feedback,Operational KPI,Escalated Cases,Cases escalated to higher level,Operational bottlenecks,Escalation governance,Escalation logs,ADVAN/CRM,BPM Engine,Count(escalated),Count,63,<10,Green<10;Amber10-30;Red>30,Card,Daily
65,Feedback,Operational KPI,Reopened Cases,Closed then reopened complaints,Poor fix quality,Root cause resolution,Reopen flags history,ADVAN/CRM,Analytics,Count(reopened),Count,74,<20,Green<20;Amber20-50;Red>50,Card,Daily
69,Feedback,Executive KPI,Digital Adoption %,Complaints from digital channels,Manual dependency remains,Promote self-service,Channel source counts,ADVAN/CRM,BI,Digital complaints / total *100,%,72,>85,Green>85;Amber70-85;Red<70,Donut,Monthly
70,Feedback,System KPI,Top Complaint Category,Highest complaint type,No root cause focus,Targeted civic action,Category counts,ADVAN/CRM,Analytics,Max(count by category),Category,Road Damage,Reduce repeats,NA,Pareto,Daily
72,Feedback,System KPI,Highest Complaint Zone,Zone with max complaints,Hotspots hidden,Deploy teams,Geo-tagged complaint zones,ADVAN+GIS,GIS Analytics,Max(count by zone),Zone,Zone A,Reduce top hotspot,NA,Map Card,Daily
73,Feedback,System KPI,Zone Complaint Share %,Share of total complaints by zone,Imbalanced workload,Zone resource balancing,Zone counts total count,ADVAN+GIS,BI,Zone count / total *100,%,22,<15,Green<15;Amber15-20;Red>20,Stacked Bar,Daily
74,Feedback,System KPI,Heatmap Density Score,Spatial complaint intensity,No visual hotspot detection,Heatmap analytics,Coordinates timestamps,ADVAN+GIS,Heatmap Engine,Density score 0-100,Score,78,<40,Green<40;Amber40-70;Red>70,Heatmap,Hourly
76,Feedback,System KPI,Repeat Issue Zones,Zones with recurring complaints,Temporary fixes only,Permanent corrective actions,Repeat incidents geo data,ADVAN+GIS,Geo Analytics,Count(repeat issues by zone),Count,Zone C=48,Reduce monthly,NA,Heatmap,Weekly
77,Feedback,System Health KPI,Feedback API Availability,Complaint system integration uptime,Data sync outages,API monitoring,Uptime logs,API Gateway,APM,Uptime %,%,98.8,>99.5,Green>99.5;Amber99-99.5;Red<99,Gauge,Hourly
81,Feedback,Predictive KPI,Forecast Next Month Cases,Expected complaints next month,No manpower planning,Forecast staffing,Historical monthly trends,DWH,Forecast Model,Predicted complaint count,Count,1380,<capacity,Green<cap;AmberNear Cap;Red>Cap,Forecast Line,Weekly
83,Feedback,Predictive KPI,Emerging Hotspot Zones,Zones likely to spike complaints,Delayed civic response,Proactive field deployment,Trend + geo + seasonality,DWH,Geo Forecast,Zones ranked by risk,Zone Rank,Zone B1,None critical,NA,Predictive Heatmap,Weekly
